    frame.number  frame.time_relative      ip.src      ip.dst  tls.handshake.extensions_server_name  frame.len  label                                       sniDomain
84         24535            26.492084  2886994435   399167317                                    55        583      0                        secure.cdn.fastclick.net
85         24557            26.508782  2886994435   601590670                                    28        583      0                                hb.yellowblue.io
86         24829            26.746598           0           0                                    49        603      0                           prebid.intergient.com
87         24854            26.779364           0           0                                    25        603      0                          exchange.cootlogix.com
88         24891            26.832663           0           0                                    26        603      0                            fonts.googleapis.com
89         24994            26.915114           0           0                                    27        603      1                               fonts.gstatic.com
90         25017            26.921184           0           0                                    15        603      0                              cdn.intergient.com
91         25018            26.921256           0           0                                    29        603      0                                 id.hadron.ad.gt
92         25025            26.923167           0           0                                     0        603      0                                         a.ad.gt
93         25026            26.923214  2886994435  2398804298                                    26        583      0                            fonts.googleapis.com
94         25072            26.943534           0           0                                     0        603      0                                         a.ad.gt
95         25076            26.945964           0           0                                    29        603      0                                 id.hadron.ad.gt
96         25077            26.949903  2886994435  2398804323                                    27        583      1                               fonts.gstatic.com
97         25091            26.961001           0           0                                    15        603      0                              cdn.intergient.com
98         25246            27.040409           0           0                                    25        603      0                          exchange.cootlogix.com
99         25309            27.061074           0           0                                    25        603      0                          exchange.cootlogix.com
